Fecha	Categoria de Cliente	Cliente	Vendedor	Linea de producto	Producto	Cantidad	Precio Venta	Precio Compra	Total Venta	Total Compra	Margen			
01-04-2017	VARIOS CONSUMIDOR FINAL	MICAELA MARTÍNEZ	LORENA SANCHEZ	VERDURAS	Lechuga	30	$ 10,00	$ 4,00	$ 255,0	$ 120,0	$ 135,0			
02-04-2017	VARIOS CONSUMIDOR FINAL	ELVIRA ROJAS	LORENA SANCHEZ	VERDURAS	Lechuga	4	$ 10,00	$ 4,00	$ 34,0	$ 16,0	$ 18,0		Cliente	Descuento
03-04-2017	VARIOS CONSUMIDOR FINAL	ELVIRA ROJAS	LORENA SANCHEZ	CARNES	Matambre	2	$ 170,00	$ 130,00	$ 289,0	$ 260,0	$ 29,0		RAÚL TABORDA	0,35
04-04-2017	CORPORATIVOS	RAÚL TABORDA	LORENA SANCHEZ	VERDURAS	Tomate	6	$ 11,00	$ 5,00	$ 42,9	$ 30,0	$ 12,9		ANDRÉS PÉREZ	0,35
05-04-2017	JEFES	HERNÁN RODRÍGUEZ	ARIADNA CÉSAR	VERDURAS	Tomate	12	$ 11,00	$ 5,00	$ 72,6	$ 60,0	$ 12,6		CINDI MATTOS	0,3
06-04-2017	JEFES	DANISA MONTERO	ARIADNA CÉSAR	VERDURAS	Tomate	60	$ 11,00	$ 5,00	$ 363,0	$ 300,0	$ 63,0		CAROLINA AIUB	0,3
07-04-2017	CORPORATIVOS	ANDRÉS PÉREZ	LORENA SANCHEZ	VERDURAS	Lechuga	36	$ 10,00	$ 4,00	$ 234,0	$ 144,0	$ 90,0		MICAELA MARTÍNEZ	0,15
08-04-2017	VARIOS CONSUMIDOR FINAL	ELVIRA ROJAS	LORENA SANCHEZ	CARNES	Filete	1	$ 184,00	$ 147,00	$ 156,4	$ 147,0	$ 9,4		ELVIRA ROJAS	0,15
09-04-2017	CORPORATIVOS	RAÚL TABORDA	LORENA SANCHEZ	VERDURAS	Lechuga	3	$ 10,00	$ 4,00	$ 19,5	$ 12,0	$ 7,5		HERNÁN RODRÍGUEZ	0,45
10-04-2017	CORPORATIVOS	RAÚL TABORDA	LORENA SANCHEZ	VERDURAS	Tomate	48	$ 11,00	$ 5,00	$ 343,2	$ 240,0	$ 103,2		DANISA MONTERO	0,45
